지역별	2015-12	2016-12	2017-12	2018-12	2019-12	2020-12	2021-12	2022-12
총인구	51069375	51269554	51422507	51629512	51779203	51829136	51738071	51692272
15세미만	6954313	6822213	6682752	6542808	6392180	6254157	6087471	5859928
15 - 64세	37497684	37620773	37568528	37631555	37570032	37287736	36944039	36685856
65세이상	6617378	6826568	7171227	7455149	7816991	8287243	8706561	9146488
