지역명	2008-01	2008-02	2008-03	2008-04	2008-05	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09	2019-10	2019-11	2019-12	2020-01	2020-02	2020-03	2020-04	2020-05	2020-06	2020-07	2020-08	2020-09	2020-10	2020-11	2020-12	2021-01	2021-02	2021-03	2021-04	2021-05	2021-06	2021-07	2021-08	2021-09	2021-10	2021-11	2021-12	2022-01	2022-02	2022-03	2022-04	2022-05	2022-06	2022-07	2022-08	2022-09	2022-10	2022-11	2022-12	2023-01	2023-02	2023-03	2023-04	2023-05	2023-06	2023-07	2023-08
전국	49297732	49329973	49324670	49355153	49380296	49387462	49416162	49441742	49469003	49495874	49516085	49540367	49552045	49577741	49596381	49593665	49618780	49642216	49665471	49688156	49711355	49736280	49759141	49773145	49810609	49835331	49862894	49889125	49913379	49934126	49955240	49976963	50001273	50475351	50495462	50515666	50534731	50555262	50575130	50594424	50613213	50627347	50641565	50662739	50681829	50699478	50717719	50734284	50750837	50767313	50783029	50801531	50819380	50832898	50851082	50871606	50891223	50912264	50930805	50948272	50965180	50991003	51003843	51018468	51034494	51047880	51064841	51081507	51098531	51115702	51127984	51141463	51156168	51171176	51185882	51202130	51218424	51233579	51250261	51266779	51284774	51302044	51314683	51327916	51342881	51360454	51378174	51395238	51413925	51431100	51448183	51465228	51482816	51500986	51515399	51529338	51541582	51555409	51569536	51584349	51601265	51619330	51634618	51649552	51664244	51677054	51687682	51696216	51704332	51712221	51714935	51722903	51732586	51736224	51744948	51753820	51762492	51769092	51774649	51778544	51779148	51779892	51784669	51790131	51796179	51801449	51806977	51812153	51817851	51821881	51824477	51826059	51826287	51829538	51833175	51836763	51840339	51842636	51845612	51847538	51849253	51850705	51851427	51849861	51847509	51844627	51843195	51842524	51841371	51839408	51839852	51839953	51841786	51838016	51834302	51829023	51825932	51824142	51705905	51702100	51683025	51672400	51671569	51669716	51667688	51662290	51652704	51638809	51632473	51625561	51610695	51592660	51583722	51578178	51574446	51558441	51466658	51459626	51450829	51439038	51430018	51421479	51414281	51408155	51400521	51392745	51387133	51377213
서울	10201656	10212056	10206136	10206862	10204867	10196863	10196644	10197320	10198705	10200440	10199174	10200827	10207304	10221170	10225908	10218707	10222778	10226685	10229471	10230476	10228160	10224788	10217035	10208302	10213153	10214085	10208670	10203549	10197997	10194327	10191949	10189598	10186556	10328915	10319500	10312545	10312835	10314245	10307783	10301829	10295643	10288284	10282472	10277507	10271880	10266174	10257741	10249679	10250134	10251297	10245782	10241387	10237054	10232281	10227761	10223243	10219334	10212445	10205843	10195318	10195064	10196434	10192057	10185955	10181807	10176560	10172002	10168997	10166691	10162099	10154180	10143645	10143164	10144173	10141727	10137313	10133734	10129223	10125912	10124243	10122661	10117909	10112156	10103233	10104515	10105206	10100987	10094889	10088393	10078850	10071654	10063197	10055027	10045027	10035597	10022181	10018537	10014261	10009588	10002979	9995784	9989795	9981673	9971111	9964291	9954791	9943333	9930616	9930478	9931412	9926968	9922745	9919016	9914381	9908612	9902072	9891448	9882810	9870167	9857426	9851767	9845336	9838892	9830452	9820971	9814049	9806538	9799075	9793003	9784112	9774088	9765623	9766288	9770638	9770216	9766886	9762062	9757144	9751415	9744888	9740398	9736289	9732577	9729107	9733509	9736962	9733655	9726787	9724496	9720846	9715429	9708247	9699232	9689159	9679771	9668465	9657969	9648606	9598484	9588711	9575355	9565990	9558153	9550227	9542256	9532428	9520880	9509458	9505926	9508451	9506778	9500480	9496887	9494807	9493211	9488454	9450768	9443722	9436836	9428372	9424873	9427583	9426404	9422710	9418885	9414093	9411260	9409466
