지역명	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09	2019-10	2019-11	2019-12	2020-01	2020-02	2020-03	2020-04	2020-05	2020-06	2020-07	2020-08	2020-09	2020-10	2020-11	2020-12	2021-01	2021-02	2021-03	2021-04	2021-05	2021-06	2021-07	2021-08	2021-09	2021-10	2021-11	2021-12	2022-01	2022-02	2022-03	2022-04	2022-05	2022-06	2022-07	2022-08	2022-09	2022-10	2022-11	2022-12	2023-01	2023-02	2023-03	2023-04	2023-05	2023-06	2023-07
전국	  15654 	 15692 	 15740 	 15817 	 15941 	 16166 	 16437 	 16595 	 16825 	 16963 	 17130 	 17312 	 17462 	 17483 	 17532 	 17600 	 17666 	 17853 	 18011 	 18119 	 18283 	 18445 	 18649 	 18911 	 19132 	 19381 	 19615 	 19903 	 20070 	 20419 	 20733 	 21055 	 21221 	 21674 	 21817 	 21888 	 21955 	 22071 	 22137 	 22194 	 22302 	 22364 	 22567 	 22732 	 22773 	 22817 	 22832 	 22851 	 22908 	 22936 	 22962 	 23049 	 23135 	 23156 	 23047 	 23228 	 23221 	 23211 	 23205 	 23191 	 23159 	 23114 	 23074 	 23039 	 23074 	 23103 	 23211 	 23142 	 23087 	 22949 	 22881 	 22797 	 22700 	 22664 	 22581 	 22575 	 22593 	 22645 	 22692 	 22796 	 22964 	 23049 	 23129 	 23319 	 23409 	 23490 	 23762 	 24083 	 24111 	 25263 	 25995 	 27067 	 27930 	 28349 	 28940 	 29225 	 29520 	 29746 	 30245 	 30554 	 31149 	 31573 	 31927 	 31195 	 30921 	 30681 	 30345 	 30177 	 30092 	 30026 	 30026 	 29990 	 29900 	 29662 	 29162 	 27667 	 26833 	 25750 	 25000 	 24667 	 24167 	 24000 	 24000 	 23833  
서울	  25871 	 25870 	 25959 	 26135 	 26424 	 26829 	 27390 	 27649 	 28209 	 28467 	 28827 	 29174 	 29340 	 29291 	 29293 	 29415 	 29513 	 30047 	 30516 	 30691 	 31083 	 31449 	 31952 	 32507 	 32941 	 33629 	 34030 	 34660 	 35092 	 35923 	 36609 	 37210 	 37522 	 38570 	 38888 	 39031 	 39127 	 39210 	 39297 	 39536 	 39757 	 39898 	 40229 	 40532 	 40491 	 40560 	 40506 	 40512 	 40640 	 40807 	 40988 	 41459 	 41744 	 41846 	 41919 	 42237 	 42346 	 42537 	 42651 	 42778 	 42776 	 42785 	 42702 	 42774 	 43122 	 43295 	 43543 	 43523 	 43426 	 43447 	 43322 	 43141 	 42957 	 43048 	 43009 	 43062 	 43117 	 43239 	 43381 	 43767 	 44423 	 44643 	 44778 	 45061 	 45270 	 45447 	 46129 	 46931 	 46876 	 46833 	 50804 	 53909 	 56702 	 58485 	 59739 	 60063 	 60400 	 60696 	 61967 	 62440 	 62648 	 62680 	 62116 	 61587 	 61389 	 61278 	 61122 	 61044 	 60976 	 60923 	 60928 	 60979 	 60884 	 60658 	 59966 	 57667 	 55667 	 52667 	 51333 	 50333 	 49833 	 49500 	 49500 	 49500  
