지역명	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09	2019-10	2019-11	2019-12	2020-01	2020-02	2020-03	2020-04	2020-05	2020-06	2020-07	2020-08	2020-09	2020-10	2020-11	2020-12	2021-01	2021-02	2021-03	2021-04	2021-05	2021-06	2021-07	2021-08	2021-09	2021-10	2021-11	2021-12	2022-01	2022-02	2022-03	2022-04	2022-05	2022-06	2022-07	2022-08	2022-09	2022-10	2022-11	2022-12	2023-01	2023-02	2023-03	2023-04	2023-05	2023-06	2023-07
전국	 24740 	 24768 	 24760 	 24767 	 24698 	 24698 	 24777 	 24875 	 24924 	 25011 	 25093 	 25278 	 25390 	 25364 	 25407 	 25414 	 25481 	 25668 	 25763 	 25867 	 25921 	 25975 	 26146 	 26296 	 26503 	 26639 	 26873 	 27122 	 27375 	 27650 	 27785 	 28080 	 28150 	 28820 	 28803 	 28838 	 28882 	 28963 	 29102 	 29205 	 29397 	 29675 	 30009 	 30271 	 30337 	 30319 	 30389 	 30456 	 30548 	 30624 	 30945 	 31142 	 31535 	 31645 	 31788 	 32042 	 32283 	 32659 	 32909 	 33312 	 33444 	 33579 	 33599 	 33647 	 33887 	 35079 	 35502 	 35566 	 35573 	 35172 	 35113 	 34850 	 34765 	 34776 	 34854 	 35137 	 35235 	 35420 	 35459 	 35567 	 35957 	 36426 	 36516 	 36647 	 36727 	 36786 	 36925 	 37282 	 37325 	 41349 	 41831 	 42734 	 43561 	 44558 	 45785 	 46999 	 47745 	 48449 	 49300 	 50076 	 51256 	 52408 	 53294 	 52096 	 52146 	 52253 	 51652 	 51721 	 51781 	 51805 	 51818 	 51427 	 50653 	 48818 	 47170 	 40500 	 39833 	 38667 	 38000 	 37500 	 36933 	 36500 	 36333 	 36333 
서울	 46872 	 47087 	 46942 	 46920 	 46619 	 46610 	 46735 	 46763 	 46777 	 46974 	 47143 	 47635 	 47620 	 47347 	 47400 	 47399 	 47586 	 47906 	 47887 	 47977 	 47975 	 48039 	 48520 	 48765 	 49257 	 49460 	 50069 	 50254 	 51017 	 51420 	 51733 	 52405 	 52444 	 54081 	 53948 	 54101 	 54390 	 54683 	 55248 	 55814 	 56639 	 57859 	 58851 	 59674 	 59828 	 59585 	 59717 	 59916 	 60267 	 60635 	 62116 	 62888 	 64771 	 65029 	 65933 	 67306 	 68500 	 70500 	 71662 	 73487 	 74418 	 75144 	 75385 	 75739 	 77935 	 82975 	 84583 	 84883 	 84502 	 84025 	 83859 	 82711 	 82574 	 82926 	 83754 	 85715 	 86245 	 87272 	 87525 	 88014 	 89751 	 91216 	 91461 	 91812 	 91998 	 92013 	 92582 	 92787 	 92152 	 92017 	 92093 	 93510 	 94741 	 96259 	 96480 	 97333 	 98667 	 99833 	 101417 	 102500 	 104667 	 106000 	 107333 	 108000 	 108250 	 108469 	 108775 	 108928 	 109062 	 109166 	 109222 	 109291 	 109160 	 108984 	 108000 	 105667 	 103833 	 101333 	 99333 	 97500 	 96667 	 95333 	 95000 	 94583 
