지역명	2008-01	2008-02	2008-03	2008-04	2008-05	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09	2019-10	2019-11	2019-12	2020-01	2020-02	2020-03	2020-04	2020-05	2020-06	2020-07	2020-08	2020-09	2020-10	2020-11	2020-12	2021-01	2021-02	2021-03	2021-04	2021-05	2021-06	2021-07	2021-08	2021-09	2021-10	2021-11	2021-12	2022-01	2022-02	2022-03	2022-04	2022-05	2022-06	2022-07	2022-08	2022-09	2022-10	2022-11	2022-12	2023-01	2023-02	2023-03	2023-04	2023-05	2023-06	2023-07	2023-08
전국	57	57.1	57.5	58.1	58.4	58.7	58.9	59	59.1	59.1	58.7	58.2	57.8	57.7	57.5	57.6	57.6	57.8	58	58.1	58.6	58.9	59	59.1	59.2	59.5	59.6	59.8	59.8	59.8	59.7	59.7	59.8	60	60.3	60.6	61	61.7	62.5	63.3	63.9	64.3	64.7	65.2	65.6	66	66.3	66.5	66.6	66.7	66.8	66.9	67	66.9	66.8	66.7	66.6	66.5	66.4	66.3	66.3	66.2	66.2	66.2	66.2	66.1	66.1	66.1	66.1	66.3	66.4	66.6	66.6	66.8	67	67.2	67.2	67.3	67.3	67.4	67.6	67.9	68	68.2	68.3	68.5	68.8	69.2	69.5	69.8	70.2	70.5	70.9	71.1	71.5	71.6	71.7	71.7	71.8	71.8	71.8	71.9	72	72.1	72.2	72.4	72.6	72.7	72.7	72.7	72.7	72.8	72.8	73	73.1	73.4	73.4	73.5	73.6	73.7	73.8	74	74.2	74.3	74.3	74.3	74.4	74.5	75.3	75.8	75.9	75.9	75.9	75.8	75.6	75.4	75.3	75.2	75.1	75.1	75.1	75.2	75.3	75.7	75.9	76.3	76.8	77	77.1	77.5	78.4	79.1	79.9	80.3	81.6	82.9	84.2	85.7	87.2	88.4	89.5	91.2	92.6	94.4	96.3	97.6	99.1	99.7	100	100.2	100.3	100.5	100.7	100.8	100.7	100.4	100.2	99.5	98.1	96.6	94.7	93.6	92.5	91.4	90.6	90.3	90.1	90.0
서울	57.6	57.9	58.7	59.9	60.4	60.7	60.8	60.8	60.8	60.7	60.1	59.2	58.6	58.5	58.4	58.6	58.7	59	59.5	59.8	60.5	60.7	60.7	60.7	60.7	60.9	60.9	60.8	60.6	60.2	59.9	59.6	59.5	59.4	59.3	59.4	59.4	59.6	59.7	59.7	59.7	59.6	59.5	59.4	59.4	59.3	59.2	59.1	59	58.9	58.8	58.5	58.4	58.2	57.9	57.6	57.2	56.9	56.6	56.4	56.2	56.1	55.9	55.9	55.8	55.7	55.5	55.4	55.3	55.4	55.4	55.4	55.4	55.5	55.6	55.7	55.7	55.6	55.6	55.6	55.8	55.9	56	56	56.1	56.2	56.4	56.7	57	57.2	57.5	57.8	58.3	58.5	58.9	59.1	59.2	59.3	59.3	59.4	59.6	59.8	60.1	60.5	60.7	61.2	61.6	61.6	61.6	61.7	61.7	61.8	61.9	62.5	63	63.7	63.8	64.1	64.4	64.9	65.6	66.2	67.1	67.6	67.9	68.2	68.5	69.3	72	73.3	73.6	73.7	73.7	73.6	73.5	73.4	73.3	73.3	73.5	73.8	74.2	74.6	75	75.8	76.3	76.7	77.3	77.4	77.4	77.8	79.5	81.1	82.7	83.3	84.6	85.7	87.1	88.5	89.7	90.5	91.4	92.9	94.1	95.6	97.3	98.3	99.3	99.8	100	100.1	100.1	100.3	100.5	100.6	100.6	100.5	100.3	99.6	98.2	96.8	94.8	93.6	92.6	91.7	90.9	90.6	90.4	90.3
