지역명	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-08	2016-09	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-07	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-06	2018-07	2018-08	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09	2019-10	2019-11	2019-12	2020-01	2020-02	2020-03	2020-04	2020-05	2020-06	2020-07	2020-08	2020-09	2020-10	2020-11	2020-12	2021-01	2021-02	2021-03	2021-04	2021-05	2021-06	2021-07	2021-08	2021-09	2021-10	2021-11	2021-12	2022-01	2022-02	2022-03	2022-04	2022-05	2022-06	2022-07	2022-08	2022-09	2022-10	2022-11	2022-12	2023-01	2023-02	2023-03
전국	 22359 	 22358 	 22312 	 22476 	 22591 	 22759 	 22947 	 23087 	 23397 	 23460 	 23460 	 23470 	 23508 	 23573 	 23613 	 23597 	 23479 	 23255 	 23161 	 23012 	 23044 	 23042 	 23132 	 23276 	 23423 	 23618 	 23777 	 23976 	 24082 	 24751 	 24779 	 24875 	 24934 	 24929 	 24979 	 25009 	 25019 	 24997 	 24966 	 24920 	 24945 	 24841 	 24683 	 24528 	 24464 	 24328 	 24251 	 24193 	 24052 	 24007 	 23970 	 24740 	 24768 	 24760 	 24767 	 24698 	 24698 	 24777 	 24875 	 24924 	 25011 	 25093 	 25278 	 25390 	 25364 	 25407 	 25414 	 25481 	 25668 	 25763 	 25867 	 25921 	 25975 	 26146 	 26296 	 26503 	 26639 	 26873 	 27122 	 27375 	 27650 	 27785 	 28080 	 28150 	 28820 	 28803 	 28838 	 28882 	 28963 	 29102 	 29205 	 29397 	 29675 	 30009 	 30271 	 30337 	 30319 	 30389 	 30456 	 30548 	 30624 	 30945 	 31142 	 31535 	 31645 	 31788 	 32042 	 32283 	 32659 	 32909 	 33312 	 33444 	 33579 	 33599 	 33647 	 33887 	 35079 	 35502 	 35566 	 35573 	 35172 	 35113 	 34850 	 34765 	 34776 	 34854 	 35137 	 35235 	 35420 	 35459 	 35567 	 35957 	 36426 	 36516 	 36647 	 36727 	 36786 	 36925 	 37282 	 37325 	 41349 	 41831 	 42734 	 43561 	 44558 	 45785 	 46999 	 47745 	 48449 	 49300 	 50076 	 51256 	 52408 	 53294 	 52096 	 52146 	 52253 	 51652 	 51721 	 51781 	 51805 	 51818 	 51427 	 50653 	 48818 	 47170 	 40500 	 39833 	 38667 	 38000 	 37500 
서울	 47666 	 48012 	 47946 	 48610 	 48947 	 49484 	 50203 	 50535 	 51458 	 51480 	 51232 	 51177 	 51215 	 51298 	 51301 	 51178 	 50752 	 49871 	 49564 	 48989 	 49072 	 49033 	 49179 	 49506 	 49741 	 49977 	 49865 	 49793 	 49587 	 51560 	 51162 	 51172 	 50941 	 50547 	 50467 	 50449 	 50589 	 50421 	 50203 	 49867 	 49975 	 49639 	 48995 	 48411 	 48257 	 47750 	 47532 	 47311 	 46632 	 46545 	 46443 	 46872 	 47087 	 46942 	 46920 	 46619 	 46610 	 46735 	 46763 	 46777 	 46974 	 47143 	 47635 	 47620 	 47347 	 47400 	 47399 	 47586 	 47906 	 47887 	 47977 	 47975 	 48039 	 48520 	 48765 	 49257 	 49460 	 50069 	 50254 	 51017 	 51420 	 51733 	 52405 	 52444 	 54081 	 53948 	 54101 	 54390 	 54683 	 55248 	 55814 	 56639 	 57859 	 58851 	 59674 	 59828 	 59585 	 59717 	 59916 	 60267 	 60635 	 62116 	 62888 	 64771 	 65029 	 65933 	 67306 	 68500 	 70500 	 71662 	 73487 	 74418 	 75144 	 75385 	 75739 	 77935 	 82975 	 84583 	 84883 	 84502 	 84025 	 83859 	 82711 	 82574 	 82926 	 83754 	 85715 	 86245 	 87272 	 87525 	 88014 	 89751 	 91216 	 91461 	 91812 	 91998 	 92013 	 92582 	 92787 	 92152 	 92017 	 92093 	 93510 	 94741 	 96259 	 96480 	 97333 	 98667 	 99833 	 101417 	 102500 	 104667 	 106000 	 107333 	 108000 	 108250 	 108469 	 108775 	 108928 	 109062 	 109166 	 109222 	 109291 	 109160 	 108984 	 108000 	 105667 	 103833 	 101333 	 99333 	 97500 
